epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9236,3.61037,7.04396,4.43504,4.21547,0.00203,0.51341,0.00607,0.0013,0.00076,0.19157,0.00127,0.00038,3.9132,5.15366,3.68697,4.14008,0.00331002,0.00331002,0.00331002
2,42.7299,3.49529,4.97615,4.16777,4.1104,0.00242,0.61303,0.00901,0.00269,0.00164,0.41379,0.00431,0.00107,3.60064,4.71951,3.45355,3.99192,0.00664007,0.00664007,0.00664007
3,61.6837,3.11329,3.69897,3.49452,3.72457,0.06209,0.08046,0.02148,0.0061,0.06389,0.11111,0.02469,0.00888,2.87783,4.80824,4.42164,3.3782,0.00996681,0.00996681,0.00996681
4,80.8251,2.68436,3.18996,2.8495,3.21082,0.2971,0.2682,0.2173,0.08738,0.2971,0.2682,0.21774,0.08974,2.29805,2.68563,2.53475,2.89331,0.00998515,0.00998515,0.00998515
5,99.6436,2.44103,2.8465,2.34519,2.92084,0.30418,0.32184,0.22185,0.09704,0.3108,0.31801,0.21643,0.12145,2.06922,2.01366,2.71365,2.6923,0.0099802,0.0099802,0.0099802
6,118.486,2.12006,2.61582,2.01145,2.64869,0.32826,0.46058,0.34014,0.19972,0.34524,0.45211,0.34241,0.2135,1.67472,1.88178,1.32845,2.34173,0.00997525,0.00997525,0.00997525
7,137.489,1.86453,2.4828,1.71637,2.38834,0.43511,0.54023,0.4186,0.2818,0.43819,0.54406,0.41999,0.27688,1.53236,1.75915,1.30274,2.18353,0.0099703,0.0099703,0.0099703
8,156.338,1.67633,2.37233,1.49038,2.1922,0.49271,0.48659,0.49117,0.30988,0.49271,0.48659,0.48956,0.3219,1.37761,1.76498,1.25387,2.02326,0.00996535,0.00996535,0.00996535
9,175.089,1.57296,2.31034,1.38722,2.06201,0.46231,0.65557,0.55165,0.38862,0.46501,0.6594,0.55169,0.39343,1.17075,1.66367,0.9712,1.76447,0.0099604,0.0099604,0.0099604
10,193.881,1.49388,2.2285,1.29306,1.97637,0.53403,0.54023,0.55317,0.38221,0.53918,0.54023,0.55632,0.39138,1.18622,1.63048,0.92829,1.82015,0.00995545,0.00995545,0.00995545
11,212.611,1.43516,2.20444,1.25006,1.93085,0.61439,0.57471,0.63124,0.47213,0.61337,0.57471,0.63204,0.45667,1.15513,1.65169,0.91404,1.72156,0.0099505,0.0099505,0.0099505
12,231.533,1.38149,2.14902,1.20366,1.87549,0.6771,0.66667,0.66258,0.48565,0.67801,0.66667,0.66401,0.49303,1.1026,1.55273,0.83519,1.7031,0.00994555,0.00994555,0.00994555
13,250.236,1.34067,2.0553,1.14079,1.81637,0.61076,0.67935,0.65355,0.47992,0.61967,0.69349,0.6632,0.48123,1.13485,1.63198,0.87899,1.74917,0.0099406,0.0099406,0.0099406
14,268.781,1.29937,2.03867,1.0904,1.78641,0.55949,0.61686,0.59818,0.44937,0.56297,0.62069,0.60136,0.45367,1.08119,1.50611,0.78045,1.65881,0.00993565,0.00993565,0.00993565
15,287.573,1.28192,2.00428,1.05768,1.76429,0.51393,0.68966,0.58741,0.44727,0.5203,0.68966,0.59355,0.44507,1.07547,1.60877,0.86627,1.65159,0.0099307,0.0099307,0.0099307
16,306.256,1.26231,1.94047,1.03347,1.73967,0.51791,0.64368,0.6247,0.47275,0.52242,0.65134,0.62788,0.47043,1.01739,1.5517,0.72853,1.60306,0.00992575,0.00992575,0.00992575
17,324.69,1.22647,1.92894,1.00092,1.70174,0.59223,0.69732,0.64928,0.49505,0.59223,0.69732,0.64696,0.4884,0.97171,1.46143,0.70573,1.59522,0.0099208,0.0099208,0.0099208
18,343.57,1.21243,1.95239,0.99796,1.70081,0.61811,0.73946,0.67822,0.50428,0.62131,0.7433,0.68099,0.50334,1.00257,1.45919,0.73043,1.59599,0.00991585,0.00991585,0.00991585
19,362.286,1.1993,1.89637,0.97527,1.66509,0.68724,0.66667,0.71171,0.56407,0.69039,0.6705,0.71479,0.55514,0.92715,1.51797,0.67795,1.53466,0.0099109,0.0099109,0.0099109
20,383.105,1.18985,1.89001,0.96532,1.66232,0.64118,0.73941,0.72684,0.54894,0.64096,0.7433,0.73048,0.5402,0.92619,1.49097,0.91862,1.53121,0.00990595,0.00990595,0.00990595
21,401.792,1.17586,1.91148,0.93293,1.64108,0.58551,0.66572,0.67758,0.52011,0.58936,0.66284,0.67865,0.50153,0.90834,1.50405,0.66477,1.50731,0.009901,0.009901,0.009901
22,420.28,1.16423,1.86231,0.92362,1.62724,0.65687,0.64544,0.6937,0.54305,0.66077,0.64927,0.69721,0.53499,0.95784,1.53486,0.67014,1.55545,0.00989605,0.00989605,0.00989605
23,438.863,1.15377,1.81837,0.91093,1.61716,0.64367,0.72671,0.75559,0.59624,0.64706,0.73054,0.75578,0.58242,0.87988,1.47935,0.64672,1.49864,0.0098911,0.0098911,0.0098911
24,457.596,1.13808,1.79046,0.89652,1.60606,0.62554,0.72414,0.69204,0.54007,0.62885,0.72797,0.69361,0.52832,0.90802,1.48729,0.77942,1.52072,0.00988615,0.00988615,0.00988615
25,476.151,1.12957,1.80908,0.88095,1.58982,0.58446,0.74907,0.70028,0.533,0.57754,0.76245,0.70768,0.53563,0.90314,1.42577,0.59795,1.5229,0.0098812,0.0098812,0.0098812
26,494.769,1.13713,1.80299,0.88538,1.59026,0.60391,0.62835,0.63272,0.48734,0.61329,0.62835,0.63691,0.47753,0.93595,1.41336,0.74656,1.53316,0.00987625,0.00987625,0.00987625
27,513.365,1.09054,1.76793,0.84906,1.5621,0.62042,0.74713,0.70764,0.56914,0.62623,0.74465,0.70918,0.56041,0.88015,1.41688,0.59924,1.48385,0.0098713,0.0098713,0.0098713
28,532.129,1.11192,1.74956,0.85889,1.56885,0.59649,0.78729,0.686,0.53068,0.59649,0.78729,0.68628,0.5238,0.84484,1.38274,0.68727,1.46192,0.00986635,0.00986635,0.00986635
29,550.94,1.09123,1.77526,0.84577,1.55873,0.60374,0.67816,0.6567,0.50371,0.61269,0.67816,0.6553,0.50137,0.91664,1.34994,0.72818,1.48077,0.0098614,0.0098614,0.0098614
30,569.514,1.07363,1.70175,0.81918,1.53439,0.61994,0.7437,0.67222,0.51979,0.63797,0.73563,0.67629,0.5176,0.88035,1.36869,0.60433,1.47539,0.00985645,0.00985645,0.00985645
31,587.913,1.06813,1.73783,0.82972,1.53503,0.55114,0.66667,0.65052,0.5002,0.55245,0.63985,0.65132,0.49215,0.90401,1.40798,0.69434,1.44515,0.0098515,0.0098515,0.0098515
32,606.433,1.05873,1.67897,0.81943,1.53025,0.69446,0.75862,0.75409,0.60765,0.70147,0.76628,0.76042,0.59843,0.8255,1.45938,0.56164,1.43366,0.00984655,0.00984655,0.00984655
33,625.046,1.05648,1.72818,0.8219,1.51449,0.65385,0.75096,0.72119,0.57869,0.65809,0.75479,0.72414,0.56387,0.80577,1.2693,0.56876,1.39731,0.0098416,0.0098416,0.0098416
34,643.975,1.04479,1.72905,0.79871,1.51004,0.66304,0.72377,0.71055,0.56868,0.66655,0.7276,0.71634,0.55844,0.86207,1.37197,0.6764,1.43703,0.00983665,0.00983665,0.00983665
35,662.749,1.07016,1.7383,0.81958,1.51481,0.6542,0.71264,0.75347,0.60336,0.65841,0.71634,0.75713,0.59198,0.85885,1.33481,0.64388,1.42441,0.0098317,0.0098317,0.0098317
36,681.528,1.05631,1.70586,0.80921,1.50918,0.56194,0.7433,0.65567,0.5197,0.57124,0.73563,0.66393,0.5109,0.83189,1.3393,0.68654,1.43985,0.00982675,0.00982675,0.00982675
37,700.321,1.04079,1.72493,0.8128,1.50118,0.64119,0.75479,0.72379,0.58625,0.64557,0.75862,0.72621,0.56238,0.83267,1.30125,0.57306,1.39852,0.0098218,0.0098218,0.0098218
38,718.837,1.03799,1.67404,0.80203,1.4985,0.66133,0.77011,0.76989,0.6286,0.66463,0.77395,0.77223,0.6046,0.84432,1.3324,0.6655,1.39857,0.00981685,0.00981685,0.00981685
39,737.514,1.02987,1.66541,0.79285,1.50412,0.64071,0.77206,0.72781,0.58305,0.64389,0.77589,0.73562,0.56362,0.83973,1.29004,0.62753,1.40194,0.0098119,0.0098119,0.0098119
40,756.115,1.01953,1.64344,0.78066,1.48117,0.68957,0.75096,0.74782,0.60438,0.69309,0.75479,0.74657,0.57927,0.83374,1.37343,0.53651,1.43407,0.00980695,0.00980695,0.00980695
41,774.719,1.02988,1.62786,0.77452,1.48527,0.68544,0.76811,0.74215,0.59071,0.68886,0.77194,0.74551,0.57472,0.83817,1.35182,0.56672,1.38701,0.009802,0.009802,0.009802
42,793.585,1.02697,1.67266,0.79061,1.48253,0.67373,0.79693,0.76301,0.62518,0.67697,0.80077,0.76074,0.59593,0.80108,1.35809,0.50098,1.37874,0.00979705,0.00979705,0.00979705
43,812.34,1.01149,1.63933,0.77237,1.47845,0.75635,0.72553,0.79651,0.64609,0.76241,0.73563,0.80251,0.63236,0.83454,1.29459,0.63518,1.4261,0.0097921,0.0097921,0.0097921
44,830.811,0.9939,1.61578,0.75881,1.46133,0.65166,0.80993,0.74864,0.60452,0.66725,0.80672,0.75423,0.58272,0.80565,1.3093,0.53947,1.37015,0.00978715,0.00978715,0.00978715
45,849.52,0.99684,1.63619,0.75615,1.4592,0.71132,0.79301,0.79725,0.65563,0.71132,0.79301,0.79573,0.6263,0.80582,1.2581,0.61412,1.38106,0.0097822,0.0097822,0.0097822
46,868.111,1.00047,1.60072,0.75818,1.4556,0.71717,0.77778,0.79843,0.66332,0.70943,0.77395,0.7941,0.6467,0.79408,1.27861,0.51172,1.35313,0.00977725,0.00977725,0.00977725
47,886.888,1.01362,1.65678,0.76111,1.47134,0.71278,0.77016,0.78104,0.62687,0.71278,0.77016,0.78134,0.60735,0.78166,1.27839,0.59407,1.34328,0.0097723,0.0097723,0.0097723
48,905.546,0.98609,1.61045,0.74272,1.44988,0.67611,0.7838,0.77858,0.65225,0.67941,0.78763,0.77933,0.62442,0.78705,1.23708,0.51972,1.34326,0.00976735,0.00976735,0.00976735
49,924.026,0.98974,1.64193,0.74857,1.45444,0.71213,0.77395,0.79346,0.64804,0.71566,0.77778,0.79291,0.62762,0.79495,1.28099,0.51609,1.33177,0.0097624,0.0097624,0.0097624
50,942.883,0.99324,1.59464,0.74551,1.45548,0.58919,0.76381,0.73519,0.58806,0.5911,0.76628,0.74183,0.58327,0.80999,1.26393,0.57325,1.36396,0.00975745,0.00975745,0.00975745
51,961.555,0.98578,1.6059,0.7297,1.44953,0.6911,0.77147,0.7869,0.64288,0.68352,0.78161,0.78871,0.62345,0.78551,1.31071,0.52484,1.34936,0.0097525,0.0097525,0.0097525
52,980.189,1.0021,1.61497,0.74233,1.46528,0.69197,0.76602,0.78599,0.64913,0.69674,0.77465,0.78868,0.63363,0.77849,1.25246,0.52402,1.34665,0.00974755,0.00974755,0.00974755
53,998.808,0.97021,1.56921,0.71791,1.4222,0.72185,0.71648,0.76787,0.63176,0.72571,0.72031,0.77372,0.61964,0.77548,1.21058,0.55515,1.32854,0.0097426,0.0097426,0.0097426
54,1017.62,0.9472,1.55968,0.71528,1.42159,0.64289,0.82375,0.74404,0.59974,0.64588,0.82759,0.74734,0.58691,0.80322,1.20274,0.56795,1.38477,0.00973765,0.00973765,0.00973765
55,1036.36,0.96489,1.57821,0.71223,1.4256,0.67923,0.75096,0.74327,0.57978,0.67577,0.74713,0.73196,0.57066,0.84952,1.34953,0.64317,1.37632,0.0097327,0.0097327,0.0097327
56,1055.01,0.97708,1.56135,0.72153,1.42736,0.64616,0.79693,0.7632,0.61223,0.64869,0.78927,0.76068,0.59279,0.82993,1.22983,0.54497,1.34447,0.00972775,0.00972775,0.00972775
57,1073.6,0.94663,1.55228,0.70771,1.41856,0.67368,0.76727,0.74996,0.60592,0.67777,0.7656,0.75221,0.58825,0.79287,1.30882,0.57818,1.36649,0.0097228,0.0097228,0.0097228
58,1092.29,0.96147,1.53998,0.71961,1.42662,0.70137,0.76245,0.79325,0.65707,0.70489,0.76628,0.79523,0.62419,0.80101,1.21616,0.55568,1.33731,0.00971785,0.00971785,0.00971785
59,1111.01,0.96667,1.60073,0.71386,1.4279,0.68351,0.78161,0.78011,0.63204,0.68686,0.78544,0.77906,0.62203,0.80315,1.35137,0.66887,1.37021,0.0097129,0.0097129,0.0097129
60,1129.58,0.94277,1.49065,0.69704,1.39969,0.62169,0.77011,0.70232,0.59151,0.62548,0.74868,0.69847,0.56429,0.78008,1.28831,0.64156,1.30885,0.00970795,0.00970795,0.00970795
61,1148.36,0.95602,1.58127,0.71019,1.42682,0.72112,0.76245,0.79424,0.6414,0.72474,0.76628,0.7992,0.6268,0.78984,1.2848,0.51642,1.36883,0.009703,0.009703,0.009703
62,1166.97,0.9684,1.54997,0.71698,1.41811,0.66372,0.77395,0.7298,0.59371,0.66701,0.77778,0.73193,0.5739,0.78299,1.26719,0.59319,1.31639,0.00969805,0.00969805,0.00969805
63,1185.59,0.94545,1.5153,0.6897,1.4121,0.76299,0.77705,0.81021,0.66404,0.76675,0.78089,0.81211,0.64493,0.75843,1.33667,0.49807,1.32151,0.0096931,0.0096931,0.0096931
64,1204.22,0.94689,1.57939,0.70867,1.41318,0.7786,0.75862,0.81342,0.67052,0.78253,0.76245,0.81819,0.65106,0.76571,1.16739,0.52075,1.29833,0.00968815,0.00968815,0.00968815
65,1223.06,0.95027,1.49567,0.70356,1.39641,0.72511,0.75799,0.79566,0.6628,0.73229,0.76628,0.80093,0.6419,0.76938,1.34876,0.50842,1.31404,0.0096832,0.0096832,0.0096832
66,1241.64,0.9323,1.51305,0.68189,1.40814,0.70315,0.80843,0.81092,0.6792,0.70579,0.81226,0.80969,0.64986,0.77083,1.22885,0.49683,1.30951,0.00967825,0.00967825,0.00967825
67,1260.16,0.92951,1.5039,0.68236,1.39607,0.72428,0.76628,0.80701,0.66223,0.73748,0.76245,0.80841,0.64421,0.73547,1.17073,0.49278,1.28957,0.0096733,0.0096733,0.0096733
68,1278.88,0.95048,1.5586,0.69802,1.40378,0.81832,0.78161,0.84974,0.70591,0.82233,0.78544,0.85263,0.67823,0.75019,1.22045,0.51271,1.27588,0.00966835,0.00966835,0.00966835
69,1297.55,0.93397,1.49982,0.68513,1.39614,0.73637,0.81336,0.82996,0.67356,0.7423,0.80843,0.82662,0.66195,0.79712,1.27006,0.54435,1.32596,0.0096634,0.0096634,0.0096634
70,1316.3,0.93451,1.53954,0.69214,1.402,0.73725,0.75254,0.82591,0.67234,0.74498,0.76245,0.82739,0.6482,0.76743,1.21137,0.5147,1.31757,0.00965845,0.00965845,0.00965845
71,1334.75,0.94686,1.5515,0.70263,1.4076,0.73656,0.7931,0.81431,0.67043,0.74012,0.79693,0.81632,0.65496,0.76967,1.28581,0.5067,1.30779,0.0096535,0.0096535,0.0096535
72,1353.37,0.95738,1.49612,0.69093,1.40586,0.78969,0.7931,0.84562,0.69221,0.78969,0.7931,0.84448,0.67347,0.78048,1.23731,0.54343,1.32278,0.00964855,0.00964855,0.00964855
73,1372.28,0.92262,1.46793,0.67135,1.38589,0.71074,0.76253,0.79596,0.65216,0.71431,0.76636,0.79872,0.63218,0.78304,1.29152,0.48402,1.32675,0.0096436,0.0096436,0.0096436
74,1391.1,0.94271,1.55118,0.69899,1.40334,0.74057,0.78927,0.82019,0.68835,0.74057,0.78927,0.81679,0.66337,0.74173,1.2053,0.4986,1.27604,0.00963865,0.00963865,0.00963865
75,1409.89,0.93405,1.52552,0.68061,1.38609,0.704,0.76547,0.81371,0.66964,0.69175,0.77778,0.81638,0.65012,0.77798,1.19566,0.56091,1.31476,0.0096337,0.0096337,0.0096337
76,1428.69,0.91197,1.49027,0.66769,1.3707,0.70481,0.79693,0.81844,0.69072,0.7082,0.80077,0.81676,0.6706,0.73844,1.19502,0.49919,1.26494,0.00962875,0.00962875,0.00962875
77,1449.24,0.93003,1.55711,0.67002,1.3895,0.78362,0.77011,0.84289,0.69714,0.77848,0.76628,0.83905,0.67178,0.76063,1.15253,0.46788,1.29171,0.0096238,0.0096238,0.0096238
78,1472.02,0.91318,1.47954,0.65716,1.3743,0.78755,0.78119,0.85403,0.71226,0.78369,0.77736,0.85263,0.69129,0.75105,1.15904,0.45188,1.29183,0.00961885,0.00961885,0.00961885
79,1491.61,0.91312,1.45966,0.66869,1.37702,0.77766,0.82375,0.85473,0.70297,0.79164,0.80066,0.85487,0.69492,0.73663,1.15693,0.48921,1.28043,0.0096139,0.0096139,0.0096139
80,1510.69,0.90547,1.46192,0.66882,1.37228,0.80727,0.79693,0.84343,0.69409,0.80537,0.78544,0.83442,0.68713,0.76262,1.16946,0.48484,1.28662,0.00960895,0.00960895,0.00960895
81,1529.84,0.9189,1.47359,0.67251,1.38884,0.78565,0.78544,0.82986,0.69649,0.77991,0.78161,0.82757,0.6843,0.72975,1.13391,0.47992,1.24983,0.009604,0.009604,0.009604
82,1548.56,0.9129,1.4757,0.65383,1.37389,0.76094,0.77395,0.828,0.67773,0.75718,0.77011,0.82416,0.65686,0.75641,1.23382,0.5484,1.28157,0.00959905,0.00959905,0.00959905
83,1567.84,0.89838,1.46859,0.65754,1.36202,0.7442,0.82375,0.83748,0.69348,0.75074,0.81992,0.84002,0.67382,0.77797,1.15557,0.49704,1.30123,0.0095941,0.0095941,0.0095941
84,1587.02,0.90213,1.45764,0.65373,1.36732,0.76435,0.79693,0.84418,0.70179,0.76067,0.7931,0.84172,0.67939,0.76118,1.12592,0.55135,1.28487,0.00958915,0.00958915,0.00958915
85,1606.4,0.89462,1.43492,0.63888,1.36888,0.73989,0.79561,0.83322,0.69302,0.73928,0.78223,0.8317,0.66924,0.74828,1.12632,0.51278,1.28935,0.0095842,0.0095842,0.0095842
86,1625.31,0.91098,1.43774,0.65419,1.36978,0.77584,0.81609,0.85635,0.70787,0.777,0.81609,0.85498,0.68734,0.73118,1.17157,0.46569,1.26721,0.00957925,0.00957925,0.00957925
87,1644.43,0.89607,1.48341,0.65126,1.36814,0.76119,0.82375,0.83317,0.69737,0.76662,0.81226,0.83284,0.66777,0.72252,1.23929,0.4868,1.25313,0.0095743,0.0095743,0.0095743
88,1663.59,0.90923,1.46034,0.65561,1.37176,0.75851,0.79427,0.82284,0.68102,0.75485,0.79044,0.82422,0.66786,0.74743,1.11504,0.49057,1.27684,0.00956935,0.00956935,0.00956935
89,1683.45,0.89886,1.45219,0.63737,1.36266,0.8069,0.78449,0.84125,0.70642,0.78058,0.79056,0.83513,0.68177,0.74675,1.15371,0.48937,1.27978,0.0095644,0.0095644,0.0095644
90,1702.56,0.91621,1.48416,0.67165,1.36929,0.70497,0.7782,0.80549,0.67206,0.69983,0.77778,0.80017,0.64442,0.74774,1.20916,0.46606,1.27414,0.00955945,0.00955945,0.00955945
91,1721.73,0.90005,1.47284,0.6507,1.36237,0.80059,0.76628,0.85628,0.70357,0.80402,0.76245,0.85251,0.69144,0.77051,1.17108,0.50762,1.31908,0.0095545,0.0095545,0.0095545
92,1740.22,0.88666,1.46036,0.63075,1.34424,0.81872,0.81609,0.86313,0.72711,0.80623,0.81992,0.85562,0.69498,0.73079,1.17898,0.49409,1.27197,0.00954955,0.00954955,0.00954955
93,1759.41,0.91163,1.47713,0.64692,1.35691,0.74617,0.8046,0.83342,0.68467,0.73907,0.79693,0.82587,0.66191,0.7533,1.18915,0.45793,1.26334,0.0095446,0.0095446,0.0095446
94,1778.71,0.89012,1.42039,0.63401,1.34482,0.74576,0.79796,0.83824,0.70455,0.7456,0.7931,0.8311,0.66608,0.7337,1.14326,0.50434,1.25689,0.00953965,0.00953965,0.00953965
95,1797.46,0.89902,1.42469,0.64233,1.3504,0.79645,0.82453,0.86219,0.71615,0.79345,0.81226,0.85699,0.70045,0.73539,1.15432,0.45247,1.26853,0.0095347,0.0095347,0.0095347
96,1817.94,0.89472,1.46993,0.64196,1.35966,0.71152,0.78434,0.81513,0.6833,0.71152,0.78434,0.81363,0.66456,0.76565,1.16775,0.48761,1.2836,0.00952975,0.00952975,0.00952975
97,1840.96,0.90063,1.45431,0.64635,1.35617,0.79606,0.80077,0.86086,0.71041,0.79972,0.78544,0.85511,0.67737,0.74233,1.13358,0.48912,1.26016,0.0095248,0.0095248,0.0095248
98,1863.41,0.88789,1.43798,0.62599,1.34669,0.80961,0.78207,0.84592,0.71247,0.80057,0.77011,0.83599,0.685,0.74173,1.13354,0.42885,1.24659,0.00951985,0.00951985,0.00951985
99,1886.33,0.88992,1.46515,0.65,1.33938,0.78827,0.78161,0.83012,0.69769,0.7839,0.7783,0.82611,0.67223,0.73055,1.17962,0.44979,1.26362,0.0095149,0.0095149,0.0095149
100,1908.79,0.89131,1.44263,0.64428,1.34611,0.80634,0.78544,0.85689,0.72282,0.81251,0.78544,0.85528,0.70332,0.73083,1.13363,0.46203,1.26226,0.00950995,0.00950995,0.00950995
101,1927.95,0.88799,1.41135,0.62831,1.34561,0.8131,0.78343,0.86355,0.72242,0.81708,0.78727,0.85971,0.70296,0.73841,1.16129,0.45006,1.26237,0.009505,0.009505,0.009505
102,1947.31,0.88692,1.42013,0.63676,1.3499,0.82485,0.83003,0.87181,0.7208,0.81903,0.83234,0.86051,0.69574,0.73172,1.1545,0.45181,1.26593,0.00950005,0.00950005,0.00950005
103,1966.53,0.89266,1.43187,0.64029,1.35051,0.81553,0.8046,0.87343,0.73786,0.81165,0.80077,0.86568,0.7068,0.74499,1.16946,0.46959,1.25927,0.0094951,0.0094951,0.0094951
104,1986.13,0.88373,1.43399,0.63309,1.35073,0.8066,0.8046,0.86624,0.72489,0.82909,0.78544,0.86057,0.70221,0.72965,1.10696,0.50422,1.25326,0.00949015,0.00949015,0.00949015
105,2005.1,0.8839,1.44839,0.62234,1.34401,0.8293,0.80042,0.86363,0.72115,0.83327,0.80425,0.86076,0.69632,0.73978,1.16041,0.46301,1.26031,0.0094852,0.0094852,0.0094852
106,2024.3,0.86811,1.42132,0.61233,1.34054,0.82907,0.8177,0.87771,0.73147,0.84339,0.8047,0.87783,0.70293,0.73596,1.11479,0.4396,1.26359,0.00948025,0.00948025,0.00948025
107,2043.65,0.87461,1.37947,0.62167,1.33551,0.79807,0.81768,0.85735,0.72478,0.79433,0.81385,0.85349,0.69618,0.72005,1.10822,0.48238,1.24367,0.0094753,0.0094753,0.0094753
108,2062.48,0.87636,1.43548,0.64178,1.34152,0.83234,0.80843,0.88307,0.74004,0.83276,0.80129,0.87778,0.7089,0.71503,1.10837,0.43136,1.22472,0.00947035,0.00947035,0.00947035
109,2081.7,0.8587,1.39975,0.61984,1.32723,0.73692,0.80077,0.83644,0.70568,0.75056,0.78544,0.83363,0.68868,0.71425,1.15654,0.4441,1.23144,0.0094654,0.0094654,0.0094654
110,2100.95,0.87328,1.41997,0.6217,1.33498,0.85615,0.77395,0.874,0.73778,0.85244,0.77466,0.87008,0.71953,0.69995,1.1111,0.42042,1.22123,0.00946045,0.00946045,0.00946045
111,2120.1,0.87669,1.40096,0.62374,1.33634,0.76635,0.79171,0.8376,0.70971,0.7652,0.78544,0.83289,0.6896,0.72572,1.1129,0.51408,1.22793,0.0094555,0.0094555,0.0094555
112,2138.85,0.88545,1.37353,0.62061,1.3472,0.8476,0.78843,0.87734,0.73669,0.84348,0.7846,0.87376,0.71069,0.72696,1.10657,0.43345,1.23975,0.00945055,0.00945055,0.00945055
113,2157.97,0.87571,1.43383,0.62615,1.33969,0.84182,0.81226,0.87472,0.73699,0.84392,0.8046,0.87233,0.71382,0.74279,1.16158,0.44458,1.24272,0.0094456,0.0094456,0.0094456
114,2177.01,0.86674,1.37911,0.62313,1.33323,0.85379,0.82779,0.88001,0.74118,0.85024,0.82658,0.87439,0.71378,0.72203,1.11872,0.46145,1.2197,0.00944065,0.00944065,0.00944065
115,2196,0.8455,1.38704,0.60324,1.31433,0.85742,0.80644,0.88253,0.74791,0.85249,0.8046,0.87933,0.71648,0.70554,1.15846,0.42021,1.21788,0.0094357,0.0094357,0.0094357
116,2215.43,0.86982,1.41355,0.6227,1.34181,0.80243,0.79363,0.85953,0.72029,0.80987,0.78927,0.86286,0.70008,0.72303,1.14827,0.49522,1.2269,0.00943075,0.00943075,0.00943075
