epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2234.73,0.8593,1.38708,0.60998,1.32837,0.81429,0.79693,0.86294,0.73028,0.81489,0.79275,0.85804,0.70991,0.73435,1.15385,0.43748,1.24446,0.0094258,0.0094258,0.0094258
118,2253.82,0.87523,1.37757,0.60703,1.32435,0.80493,0.81226,0.86269,0.7286,0.79664,0.8046,0.85121,0.70158,0.72119,1.11274,0.42699,1.21945,0.00942085,0.00942085,0.00942085
119,2272.93,0.86726,1.37434,0.61013,1.33117,0.8174,0.78897,0.87354,0.73342,0.82404,0.78161,0.87118,0.71107,0.73261,1.12709,0.439,1.24268,0.0094159,0.0094159,0.0094159
120,2291.85,0.86494,1.45214,0.6279,1.32731,0.86168,0.81992,0.87975,0.73214,0.85884,0.81609,0.87706,0.70949,0.73858,1.13739,0.42642,1.23904,0.00941095,0.00941095,0.00941095
121,2310.95,0.87314,1.41408,0.61211,1.33266,0.82589,0.79693,0.86713,0.72129,0.82192,0.7931,0.8634,0.7008,0.72357,1.1254,0.45021,1.20742,0.009406,0.009406,0.009406
122,2330.24,0.85934,1.3825,0.60266,1.31165,0.82781,0.81049,0.87333,0.73087,0.82897,0.79855,0.87332,0.70595,0.70584,1.08674,0.42722,1.21605,0.00940105,0.00940105,0.00940105
123,2349.4,0.84678,1.40096,0.6021,1.3198,0.84884,0.81226,0.88467,0.74777,0.84314,0.8046,0.87678,0.72836,0.69475,1.13585,0.44248,1.22639,0.0093961,0.0093961,0.0093961
124,2368.46,0.84914,1.359,0.60158,1.31647,0.83273,0.8011,0.87398,0.74082,0.82443,0.7916,0.87204,0.71742,0.70605,1.10541,0.45559,1.19807,0.00939115,0.00939115,0.00939115
125,2387.71,0.85049,1.39864,0.60409,1.31328,0.76647,0.81738,0.84236,0.71221,0.76269,0.81226,0.83584,0.68044,0.72517,1.11127,0.42794,1.21566,0.0093862,0.0093862,0.0093862
126,2406.91,0.85968,1.37047,0.59565,1.31758,0.84297,0.8433,0.87975,0.74003,0.85373,0.82743,0.87645,0.71015,0.69624,1.1489,0.43741,1.20413,0.00938125,0.00938125,0.00938125
127,2426.04,0.86669,1.38955,0.60848,1.32164,0.85349,0.80349,0.88537,0.74398,0.85349,0.80349,0.88288,0.72197,0.72288,1.12516,0.41603,1.21951,0.0093763,0.0093763,0.0093763
128,2445.04,0.85704,1.38222,0.61313,1.32199,0.77389,0.82759,0.86018,0.71562,0.77045,0.81017,0.85458,0.69712,0.72149,1.06167,0.43441,1.23021,0.00937135,0.00937135,0.00937135
129,2463.87,0.85323,1.36912,0.60366,1.32089,0.81196,0.79414,0.87789,0.74407,0.81098,0.78544,0.87299,0.71843,0.7055,1.08101,0.42759,1.24891,0.0093664,0.0093664,0.0093664
130,2483.05,0.84995,1.36751,0.60674,1.30785,0.79848,0.84291,0.87925,0.74022,0.84678,0.78544,0.87439,0.72186,0.72321,1.11965,0.43103,1.2328,0.00936145,0.00936145,0.00936145
131,2502.04,0.84896,1.38588,0.59183,1.30828,0.87168,0.82375,0.89676,0.76196,0.86357,0.81609,0.8899,0.73555,0.68402,1.09844,0.41621,1.20363,0.0093565,0.0093565,0.0093565
132,2521.38,0.83251,1.35842,0.58777,1.29364,0.83478,0.82759,0.87555,0.73699,0.82684,0.82326,0.87331,0.7116,0.71755,1.09037,0.46516,1.21098,0.00935155,0.00935155,0.00935155
133,2540.55,0.82943,1.35799,0.58498,1.29759,0.82457,0.84644,0.88794,0.75173,0.84249,0.81226,0.88116,0.72219,0.70423,1.06543,0.4454,1.22528,0.0093466,0.0093466,0.0093466
134,2559.27,0.83796,1.33334,0.58696,1.30005,0.79283,0.83579,0.86544,0.73327,0.78588,0.8297,0.8544,0.70375,0.71239,1.09616,0.42035,1.2258,0.00934165,0.00934165,0.00934165
135,2578.34,0.85748,1.41904,0.60944,1.32096,0.85188,0.84291,0.89018,0.7592,0.87015,0.80843,0.8784,0.72655,0.6879,1.10002,0.40947,1.20434,0.0093367,0.0093367,0.0093367
136,2597.47,0.84716,1.38177,0.59562,1.31382,0.85565,0.81757,0.87744,0.74498,0.84821,0.82759,0.87561,0.72577,0.7081,1.13501,0.43158,1.21364,0.00933175,0.00933175,0.00933175
137,2616.23,0.85253,1.36131,0.60403,1.31904,0.8219,0.83105,0.88039,0.73624,0.82007,0.82075,0.88071,0.71508,0.72626,1.09654,0.46017,1.21599,0.0093268,0.0093268,0.0093268
138,2635.35,0.85289,1.3782,0.60276,1.3122,0.8627,0.81849,0.89161,0.74399,0.8581,0.81094,0.88997,0.72759,0.71267,1.07876,0.42628,1.21596,0.00932185,0.00932185,0.00932185
139,2654.23,0.84199,1.39147,0.59504,1.30787,0.81335,0.8348,0.87677,0.74678,0.80909,0.82811,0.8721,0.72353,0.72024,1.07886,0.42308,1.21529,0.0093169,0.0093169,0.0093169
140,2673.01,0.84492,1.36351,0.60112,1.30442,0.82068,0.81992,0.86599,0.73522,0.8255,0.81566,0.86198,0.70805,0.69296,1.08239,0.45193,1.20089,0.00931195,0.00931195,0.00931195
141,2692.21,0.83612,1.34447,0.5932,1.29554,0.79606,0.8375,0.89023,0.74934,0.80842,0.82456,0.88481,0.7307,0.70304,1.08517,0.4361,1.22365,0.009307,0.009307,0.009307
142,2711.08,0.84658,1.37191,0.59158,1.29813,0.84309,0.80843,0.88337,0.7529,0.83891,0.79813,0.87876,0.72104,0.69371,1.09578,0.39439,1.20411,0.00930205,0.00930205,0.00930205
143,2730.31,0.82464,1.33858,0.58907,1.28126,0.79229,0.84765,0.88396,0.74791,0.79838,0.83525,0.87712,0.71497,0.70114,1.10908,0.43208,1.20039,0.0092971,0.0092971,0.0092971
144,2749.11,0.83706,1.36404,0.58218,1.30835,0.86565,0.83908,0.88675,0.74304,0.87117,0.84291,0.88567,0.71607,0.72751,1.10425,0.42807,1.23164,0.00929215,0.00929215,0.00929215
145,2768.24,0.83285,1.31887,0.58163,1.29849,0.85037,0.78544,0.88832,0.75902,0.85678,0.78927,0.88857,0.73116,0.70107,1.0875,0.41873,1.21565,0.0092872,0.0092872,0.0092872
146,2786.95,0.83282,1.34967,0.57083,1.28782,0.86389,0.81226,0.87909,0.75155,0.84314,0.80843,0.87306,0.7224,0.71768,1.07064,0.50638,1.2202,0.00928225,0.00928225,0.00928225
147,2807.11,0.83773,1.37262,0.5879,1.29223,0.79717,0.84327,0.87423,0.74129,0.79417,0.82786,0.86327,0.71568,0.7125,1.08746,0.4435,1.21394,0.0092773,0.0092773,0.0092773
148,2825.57,0.84415,1.36041,0.57429,1.29646,0.83225,0.82759,0.88366,0.74434,0.82722,0.82549,0.87292,0.71668,0.70749,1.08075,0.45139,1.19851,0.00927235,0.00927235,0.00927235
149,2844.39,0.83145,1.33862,0.59063,1.28815,0.84332,0.82493,0.88207,0.753,0.83157,0.81343,0.87021,0.72747,0.69917,1.06875,0.40391,1.21065,0.0092674,0.0092674,0.0092674
150,2862.56,0.83494,1.36035,0.59003,1.29733,0.84714,0.84935,0.87917,0.74669,0.84312,0.82375,0.8639,0.71181,0.70818,1.09442,0.4565,1.23749,0.00926245,0.00926245,0.00926245
151,2881.15,0.84483,1.34137,0.58193,1.29755,0.82042,0.8402,0.88187,0.74826,0.81488,0.83908,0.8742,0.73113,0.69141,1.07858,0.4308,1.20869,0.0092575,0.0092575,0.0092575
152,2900.17,0.82939,1.3513,0.58928,1.30557,0.82318,0.83908,0.88823,0.74744,0.86193,0.81226,0.87736,0.73076,0.70469,1.08843,0.42447,1.22475,0.00925255,0.00925255,0.00925255
153,2919.16,0.83443,1.33857,0.58819,1.29848,0.90456,0.84674,0.90205,0.76041,0.90491,0.83857,0.89665,0.74536,0.70423,1.08235,0.4318,1.21492,0.0092476,0.0092476,0.0092476
154,2937.51,0.83505,1.33933,0.58004,1.29764,0.85908,0.83142,0.89694,0.75627,0.87006,0.81992,0.89423,0.73806,0.69123,1.109,0.39523,1.21818,0.00924265,0.00924265,0.00924265
155,2956.23,0.84817,1.36093,0.59385,1.30871,0.80266,0.86973,0.88672,0.73956,0.78394,0.8659,0.87704,0.72343,0.7374,1.07475,0.41705,1.25006,0.0092377,0.0092377,0.0092377
156,2974.62,0.83018,1.32646,0.58175,1.28713,0.83499,0.82759,0.88509,0.7448,0.83333,0.82375,0.8788,0.72648,0.69027,1.05796,0.40716,1.22253,0.00923275,0.00923275,0.00923275
157,2993.32,0.84126,1.33551,0.58679,1.29595,0.86316,0.83525,0.89836,0.75886,0.85196,0.81609,0.88509,0.73368,0.70781,1.10239,0.40683,1.21141,0.0092278,0.0092278,0.0092278
158,3012.17,0.81966,1.29817,0.57273,1.28111,0.85315,0.83142,0.89527,0.76619,0.83495,0.83345,0.88836,0.74285,0.68563,1.07296,0.38997,1.2076,0.00922285,0.00922285,0.00922285
159,3030.7,0.82111,1.29746,0.55994,1.2848,0.83717,0.83908,0.88816,0.75973,0.8403,0.83525,0.88499,0.72931,0.67688,1.10271,0.39173,1.20693,0.0092179,0.0092179,0.0092179
160,3049.03,0.82837,1.29477,0.57133,1.28416,0.87615,0.85824,0.90147,0.76482,0.86441,0.84674,0.88974,0.73833,0.69935,1.07341,0.3952,1.21013,0.00921295,0.00921295,0.00921295
161,3067.43,0.82557,1.34388,0.58607,1.2925,0.80152,0.83142,0.87231,0.74443,0.79984,0.82759,0.87027,0.71814,0.68904,1.09623,0.41225,1.1765,0.009208,0.009208,0.009208
162,3086.01,0.83444,1.31229,0.58758,1.28508,0.79384,0.82375,0.88001,0.74534,0.79849,0.81609,0.8772,0.73056,0.68133,1.07297,0.40262,1.19124,0.00920305,0.00920305,0.00920305
163,3104.52,0.83375,1.36719,0.58256,1.28938,0.83256,0.83824,0.88945,0.75872,0.83899,0.83525,0.88463,0.732,0.68712,1.03774,0.40291,1.18642,0.0091981,0.0091981,0.0091981
164,3123.15,0.82257,1.32171,0.57083,1.28831,0.86365,0.82514,0.89634,0.75428,0.86037,0.80077,0.88114,0.73424,0.70486,1.08837,0.38832,1.19084,0.00919315,0.00919315,0.00919315
165,3141.61,0.80916,1.29719,0.55975,1.27519,0.85615,0.82091,0.88465,0.75219,0.86616,0.79693,0.87781,0.72719,0.69314,1.08626,0.39497,1.17814,0.0091882,0.0091882,0.0091882
166,3160.09,0.83317,1.31242,0.56784,1.28665,0.88069,0.82019,0.89472,0.75593,0.87246,0.81253,0.88837,0.72523,0.6956,1.0748,0.38948,1.18387,0.00918325,0.00918325,0.00918325
167,3178.84,0.82288,1.3323,0.56902,1.29469,0.85674,0.84291,0.88899,0.7591,0.85285,0.83908,0.88645,0.72855,0.66643,1.06997,0.39451,1.17399,0.0091783,0.0091783,0.0091783
168,3197.48,0.80588,1.30346,0.5595,1.2701,0.85663,0.82415,0.89727,0.75724,0.85265,0.82032,0.89377,0.7298,0.69505,1.08248,0.41007,1.21017,0.00917335,0.00917335,0.00917335
169,3216.02,0.81722,1.29138,0.55689,1.28033,0.8468,0.84709,0.89791,0.75251,0.84066,0.83525,0.88683,0.72624,0.69373,1.06365,0.39572,1.2024,0.0091684,0.0091684,0.0091684
170,3234.68,0.81186,1.29399,0.55423,1.26675,0.88694,0.84159,0.90184,0.77021,0.88349,0.84257,0.89473,0.74402,0.67984,1.0924,0.39024,1.18735,0.00916345,0.00916345,0.00916345
171,3253.16,0.80359,1.28592,0.56749,1.26133,0.83982,0.83908,0.88792,0.75832,0.83928,0.83525,0.88423,0.72801,0.7002,1.08713,0.4165,1.19095,0.0091585,0.0091585,0.0091585
172,3271.77,0.8136,1.33626,0.56812,1.27162,0.85379,0.85057,0.8881,0.75298,0.85603,0.84288,0.88416,0.73112,0.68638,1.07966,0.42502,1.17714,0.00915355,0.00915355,0.00915355
173,3290.36,0.80925,1.32272,0.54578,1.27104,0.87719,0.85824,0.90078,0.76191,0.87187,0.85441,0.89853,0.74074,0.6693,1.06503,0.38757,1.17364,0.0091486,0.0091486,0.0091486
174,3308.92,0.81476,1.30834,0.56083,1.26776,0.88006,0.81609,0.89658,0.75633,0.87706,0.8046,0.89002,0.73329,0.69675,1.0555,0.39855,1.20701,0.00914365,0.00914365,0.00914365
175,3327.32,0.82,1.32004,0.56107,1.27603,0.85607,0.84318,0.89796,0.75683,0.85257,0.84197,0.89156,0.73224,0.70171,1.0849,0.39475,1.21104,0.0091387,0.0091387,0.0091387
176,3345.67,0.81617,1.35565,0.55971,1.26704,0.86953,0.84264,0.90349,0.76657,0.86558,0.83881,0.89651,0.73899,0.69941,1.06799,0.41879,1.20819,0.00913375,0.00913375,0.00913375
177,3364.01,0.80058,1.30418,0.5575,1.26681,0.89624,0.86044,0.91419,0.77785,0.89635,0.85441,0.91127,0.74814,0.68576,1.06356,0.39499,1.19276,0.0091288,0.0091288,0.0091288
178,3382.54,0.81098,1.30529,0.55348,1.26738,0.87315,0.84391,0.90414,0.7678,0.86522,0.83625,0.8964,0.74124,0.70137,1.04817,0.40728,1.19337,0.00912385,0.00912385,0.00912385
179,3401.18,0.80412,1.33277,0.55642,1.26537,0.85603,0.84292,0.89403,0.76452,0.83816,0.85824,0.88494,0.73224,0.68157,1.07574,0.41211,1.18994,0.0091189,0.0091189,0.0091189
180,3419.6,0.81852,1.29324,0.56885,1.28123,0.86717,0.83142,0.90194,0.76679,0.85742,0.82375,0.89081,0.73356,0.69541,1.08971,0.39752,1.2071,0.00911395,0.00911395,0.00911395
181,3437.88,0.81537,1.31245,0.57116,1.27468,0.89388,0.83525,0.90473,0.76239,0.88568,0.82759,0.8928,0.73554,0.69197,1.09953,0.40655,1.19128,0.009109,0.009109,0.009109
182,3457.67,0.80284,1.28427,0.54956,1.26496,0.85604,0.84297,0.89089,0.758,0.8525,0.8415,0.88538,0.73169,0.68952,1.11483,0.45209,1.19512,0.00910405,0.00910405,0.00910405
183,3479.91,0.82512,1.3118,0.56534,1.26964,0.87091,0.85302,0.90063,0.76158,0.86673,0.85057,0.89663,0.73806,0.69636,1.09019,0.41853,1.20539,0.0090991,0.0090991,0.0090991
184,3498.64,0.80691,1.27065,0.55656,1.26467,0.86993,0.85057,0.89826,0.76197,0.87612,0.83525,0.89359,0.73358,0.7033,1.09741,0.45371,1.21123,0.00909415,0.00909415,0.00909415
185,3517.35,0.79506,1.2875,0.54986,1.26246,0.85223,0.81757,0.89035,0.7617,0.82559,0.82375,0.88704,0.73465,0.69858,1.11272,0.41572,1.20552,0.0090892,0.0090892,0.0090892
186,3535.93,0.80799,1.26922,0.55497,1.26576,0.83733,0.8283,0.8899,0.7583,0.83364,0.82559,0.88203,0.73579,0.68208,1.06761,0.46274,1.16764,0.00908425,0.00908425,0.00908425
187,3554.5,0.80015,1.26207,0.55717,1.25113,0.88287,0.84674,0.89482,0.76209,0.87888,0.84291,0.8921,0.72538,0.68678,1.09018,0.45055,1.18976,0.0090793,0.0090793,0.0090793
188,3572.96,0.80422,1.27981,0.54156,1.26122,0.89596,0.83908,0.90332,0.7661,0.88778,0.83142,0.88994,0.73135,0.6952,1.11215,0.40621,1.19863,0.00907435,0.00907435,0.00907435
189,3591.83,0.81268,1.28556,0.55859,1.26646,0.86599,0.83142,0.90065,0.76755,0.8488,0.82759,0.89388,0.73669,0.68274,1.1349,0.39614,1.18589,0.0090694,0.0090694,0.0090694
190,3610.51,0.79698,1.31454,0.55135,1.26183,0.85857,0.84674,0.90108,0.76815,0.8508,0.83908,0.89051,0.73731,0.67709,1.08158,0.40093,1.1773,0.00906445,0.00906445,0.00906445
191,3629.31,0.80325,1.31351,0.55773,1.27504,0.89323,0.81992,0.90941,0.77789,0.89503,0.8046,0.90218,0.73831,0.68156,1.06939,0.43153,1.18143,0.0090595,0.0090595,0.0090595
192,3647.79,0.79463,1.3102,0.5444,1.25708,0.86709,0.82484,0.89783,0.76793,0.8779,0.79892,0.89197,0.73634,0.67927,1.04537,0.43022,1.17734,0.00905455,0.00905455,0.00905455
193,3666.12,0.81184,1.35123,0.56612,1.26754,0.86781,0.83142,0.9,0.77317,0.87421,0.81992,0.88888,0.74263,0.67612,1.06469,0.40762,1.17751,0.0090496,0.0090496,0.0090496
194,3684.59,0.80546,1.29811,0.54655,1.26051,0.86939,0.85824,0.90584,0.77418,0.85177,0.83525,0.88661,0.74314,0.67387,1.06327,0.39464,1.16554,0.00904465,0.00904465,0.00904465
195,3703.04,0.80382,1.30111,0.55342,1.25467,0.87659,0.85824,0.90151,0.76892,0.85767,0.85824,0.89263,0.74052,0.67195,1.07141,0.40201,1.15394,0.0090397,0.0090397,0.0090397
196,3721.39,0.80641,1.25918,0.55087,1.26014,0.89432,0.84674,0.90377,0.77489,0.86135,0.85692,0.89802,0.74314,0.68223,1.06463,0.42379,1.1633,0.00903475,0.00903475,0.00903475
197,3739.94,0.80402,1.27817,0.53917,1.25354,0.83686,0.86207,0.90349,0.77353,0.8429,0.85057,0.89927,0.74975,0.66569,1.04021,0.36612,1.15266,0.0090298,0.0090298,0.0090298
198,3758.26,0.79633,1.26527,0.54152,1.26072,0.86996,0.83908,0.89807,0.7724,0.84777,0.82759,0.88844,0.74076,0.66289,1.02453,0.37528,1.15515,0.00902485,0.00902485,0.00902485
199,3776.67,0.80464,1.30547,0.55031,1.26771,0.84919,0.84291,0.90108,0.77358,0.82368,0.83142,0.89215,0.74244,0.68572,1.05243,0.38179,1.17435,0.0090199,0.0090199,0.0090199
200,3795.01,0.80477,1.27631,0.54851,1.26158,0.83035,0.85441,0.89593,0.76748,0.81043,0.85173,0.88855,0.74478,0.68609,1.0353,0.38798,1.16723,0.00901495,0.00901495,0.00901495
201,3813.49,0.78991,1.28223,0.54564,1.247,0.85082,0.86207,0.89739,0.76881,0.8442,0.85824,0.89443,0.7398,0.67383,1.03109,0.3876,1.17393,0.00901,0.00901,0.00901
202,3831.83,0.78101,1.30296,0.54159,1.23605,0.84894,0.86207,0.90151,0.77545,0.84721,0.85824,0.89854,0.74576,0.66765,1.01775,0.40905,1.16332,0.00900505,0.00900505,0.00900505
203,3850.08,0.8036,1.28368,0.55065,1.25897,0.86491,0.85057,0.90602,0.77294,0.87198,0.8046,0.89768,0.74594,0.67076,1.04997,0.43845,1.15772,0.0090001,0.0090001,0.0090001
204,3868.73,0.79,1.27874,0.5463,1.25663,0.86384,0.84291,0.89882,0.76518,0.8686,0.81049,0.89108,0.74056,0.68972,1.06433,0.41131,1.17055,0.00899515,0.00899515,0.00899515
205,3887.31,0.79965,1.25487,0.53702,1.25195,0.84391,0.85057,0.90118,0.77013,0.86694,0.82759,0.88987,0.74359,0.66992,1.06348,0.41484,1.1442,0.0089902,0.0089902,0.0089902
206,3905.84,0.78931,1.2715,0.55451,1.24827,0.87196,0.85441,0.90963,0.78129,0.88753,0.82759,0.90559,0.75254,0.66213,1.07906,0.37571,1.14867,0.00898525,0.00898525,0.00898525
207,3924.37,0.79382,1.28961,0.54717,1.25247,0.84868,0.85956,0.90762,0.78228,0.85887,0.81609,0.89035,0.74175,0.66687,1.10688,0.38955,1.16277,0.0089803,0.0089803,0.0089803
208,3942.76,0.78972,1.2566,0.54808,1.24631,0.88143,0.85445,0.90963,0.7785,0.87352,0.84679,0.90305,0.74504,0.67638,1.10107,0.40309,1.18615,0.00897535,0.00897535,0.00897535
209,3961.26,0.80894,1.28409,0.55101,1.26415,0.87871,0.85824,0.90533,0.77527,0.87086,0.85057,0.89994,0.74476,0.68482,1.06131,0.39296,1.18743,0.0089704,0.0089704,0.0089704
210,3979.87,0.77837,1.25087,0.53874,1.24727,0.89663,0.8659,0.90177,0.7683,0.88869,0.85824,0.89098,0.74578,0.68076,1.0761,0.38526,1.1818,0.00896545,0.00896545,0.00896545
211,3998.32,0.81127,1.29985,0.54698,1.25807,0.88684,0.86973,0.90906,0.7689,0.87913,0.8639,0.89629,0.74796,0.7047,1.05253,0.3982,1.19589,0.0089605,0.0089605,0.0089605
212,4016.7,0.78653,1.28581,0.54331,1.2436,0.89901,0.85267,0.91466,0.78065,0.88728,0.84447,0.90557,0.75387,0.68468,1.03794,0.37852,1.182,0.00895555,0.00895555,0.00895555
213,4035.1,0.78341,1.26104,0.53061,1.24615,0.90714,0.85441,0.9156,0.78399,0.89192,0.85372,0.90742,0.76041,0.67074,1.05053,0.35487,1.1683,0.0089506,0.0089506,0.0089506
214,4053.7,0.78446,1.26612,0.53489,1.23966,0.90328,0.85878,0.91728,0.78092,0.89141,0.84924,0.9039,0.75321,0.67033,1.06027,0.36415,1.15357,0.00894565,0.00894565,0.00894565
215,4072.15,0.77955,1.27586,0.53908,1.24138,0.91234,0.85441,0.91498,0.78152,0.90825,0.85057,0.9087,0.76157,0.66948,1.04031,0.37291,1.14906,0.0089407,0.0089407,0.0089407
216,4090.58,0.78873,1.26443,0.54577,1.2462,0.92271,0.85824,0.91308,0.78692,0.92198,0.86028,0.91251,0.76359,0.66655,1.04583,0.38043,1.16162,0.00893575,0.00893575,0.00893575
217,4109.23,0.80345,1.265,0.55311,1.25539,0.89983,0.8604,0.90327,0.7761,0.87954,0.83928,0.88106,0.73819,0.67024,1.08183,0.37335,1.15724,0.0089308,0.0089308,0.0089308
218,4127.95,0.79752,1.26653,0.54505,1.25146,0.87924,0.86481,0.91233,0.78549,0.86756,0.85332,0.89619,0.75396,0.66816,1.04462,0.39535,1.15652,0.00892585,0.00892585,0.00892585
219,4146.42,0.77021,1.23466,0.51116,1.22908,0.88305,0.85824,0.90977,0.7826,0.87332,0.84524,0.89426,0.75166,0.67256,1.01748,0.38442,1.15811,0.0089209,0.0089209,0.0089209
220,4167,0.79601,1.33319,0.5459,1.25073,0.89862,0.84291,0.91394,0.78739,0.89135,0.83525,0.90171,0.75068,0.67357,1.03647,0.37754,1.16132,0.00891595,0.00891595,0.00891595
221,4185.33,0.78407,1.26593,0.5317,1.24227,0.90789,0.86973,0.92029,0.79335,0.89535,0.85231,0.90818,0.75943,0.6716,1.04024,0.38503,1.15929,0.008911,0.008911,0.008911
222,4203.93,0.78635,1.25497,0.54534,1.2523,0.8794,0.83816,0.91007,0.78056,0.87867,0.80843,0.89101,0.74396,0.67351,1.03872,0.39225,1.15991,0.00890605,0.00890605,0.00890605
223,4222.26,0.78097,1.25904,0.52477,1.23997,0.83312,0.85824,0.9008,0.77469,0.82196,0.85824,0.89309,0.74923,0.67536,1.04931,0.39332,1.16637,0.0089011,0.0089011,0.0089011
224,4240.51,0.77854,1.25358,0.52999,1.23505,0.86892,0.86355,0.90768,0.7757,0.86165,0.85905,0.90323,0.75449,0.67727,1.04403,0.38149,1.16357,0.00889615,0.00889615,0.00889615
225,4259.04,0.78849,1.25864,0.54686,1.24114,0.90569,0.84291,0.90977,0.77267,0.88986,0.83579,0.89919,0.74893,0.66936,1.06087,0.35578,1.16724,0.0088912,0.0088912,0.0088912
226,4277.21,0.79702,1.26636,0.54245,1.23991,0.87748,0.87807,0.90904,0.78005,0.85586,0.8659,0.89052,0.74548,0.66867,1.0817,0.35458,1.15752,0.00888625,0.00888625,0.00888625
227,4295.64,0.77812,1.25045,0.53093,1.24106,0.88023,0.87288,0.91138,0.77572,0.86217,0.86279,0.89413,0.74184,0.66754,1.08793,0.36381,1.16255,0.0088813,0.0088813,0.0088813
228,4314.09,0.79393,1.26114,0.53012,1.24409,0.92475,0.85824,0.9237,0.78906,0.91134,0.84674,0.91021,0.75113,0.66793,1.05343,0.37867,1.17177,0.00887635,0.00887635,0.00887635
229,4332.86,0.78909,1.27664,0.53874,1.24909,0.88084,0.8497,0.91564,0.78625,0.86808,0.85721,0.90677,0.74921,0.67365,1.06187,0.37412,1.16277,0.0088714,0.0088714,0.0088714
230,4351.44,0.77562,1.23876,0.53076,1.2279,0.85652,0.85057,0.90551,0.7772,0.84657,0.84291,0.8988,0.74641,0.66958,1.06722,0.36435,1.15609,0.00886645,0.00886645,0.00886645
231,4369.8,0.76977,1.24373,0.52904,1.22976,0.8744,0.88019,0.91018,0.78123,0.86333,0.87131,0.90281,0.7537,0.66435,1.05008,0.36335,1.1531,0.0088615,0.0088615,0.0088615
232,4388.17,0.77785,1.25867,0.52427,1.23365,0.86252,0.85824,0.90807,0.77653,0.84912,0.84291,0.89671,0.75292,0.67489,1.04753,0.36633,1.15863,0.00885655,0.00885655,0.00885655
233,4406.74,0.76816,1.25556,0.52524,1.23348,0.86532,0.86973,0.90801,0.7772,0.85495,0.85824,0.8928,0.74622,0.66766,1.04961,0.37766,1.16239,0.0088516,0.0088516,0.0088516
234,4425.18,0.77437,1.22912,0.51796,1.24119,0.9093,0.84503,0.91474,0.78847,0.90105,0.83737,0.9055,0.74944,0.66394,1.05807,0.37836,1.1594,0.00884665,0.00884665,0.00884665
